,X,X._AnswerID,ResumeCode,Start,Dateandtime,Participationstatus,age,rela_status,sex,sex_oritation,length,hex01,hex02,hex03,hex04,hex05,hex06,hex07,hex08,hex09,hex10,hex11,hex12,hex13,hex14,hex15,hex16,hex17,hex18,hex19,hex20,Disagree,hex21,hex22,hex23,hex24,hex25,hex26,hex27,hex28,hex29,hex30,hex31,hex32,hex33,hex34,hex35,hex36,hex37,hex38,hex39,hex40,hex41,hex42,hex43,hex44,hex45,hex46,hex47,hex48,hex49,hex50,hex51,hex52,hex53,hex54,hex55,hex56,hex57,hex58,hex59,hex60,phex01,phex02,phex03,phex04,phex05,phex06,phex07,phex08,phex09,phex10,phex11,phex12,phex13,phex14,phex15,phex16,phex17,phex18,phex19,phex20,phex21,Agree,phex22,phex23,phex24,phex25,phex26,phex27,phex28,phex29,phex30,phex31,phex32,phex33,phex34,phex35,phex36,phex37,phex38,phex39,phex40,phex41,phex42,phex43,phex44,phex45,phex46,phex47,phex48,phex49,phex50,phex51,phex52,phex53,phex54,phex55,phex56,phex57,phex58,phex59,phex60,satis01,satis02,satis03,satis04,satis05,satis06,satis07,commit01,commit02,commit03,commit04,commit05,commit06,commit07,IOS,commit03r,commit04r,satis04r,satis07r,hex30r,hex12r,hex60r,hex42r,hex24r,hex48r,hex53r,hex35r,hex41r,hex59r,hex28r,hex52r,hex10r,hex46r,hex09r,hex15r,hex57r,hex21r,hex26r,hex32r,hex14r,hex20r,hex44r,hex56r,hex01r,hex31r,hex49r,hex19r,hex55r,phex30r,phex12r,phex60r,phex42r,phex24r,phex48r,phex53r,phex35r,phex41r,phex59r,phex28r,phex52r,phex10r,phex46r,phex09r,phex15r,phex57r,phex21r,phex26r,phex32r,phex14r,phex20r,phex44r,phex56r,phex01r,phex31r,phex49r,phex19r,phex55r,HH,EM,EX,AG,CO,OP,pHH,pEM,pEX,pAG,pCO,pOP,satis,commit
151,212,59798275,6b1c077   ,"Jul 30, 2019 11:48","Jul 30, 2019 12:04",participated and completed        ,19,In a relationship        ,Female  ,I am in a homosexual relationship  ,4,2,2,5,5,4,2,4,5,1,1,2,2,4,4,1,5,4,2,2,2,2,1,5,4,1,4,1,2,1,4,4,4,2,5,5,5,2,5,4,5,5,2,4,4,4,5,1,5,1,1,1,2,1,2,2,2,4,2,5,1,1,1,1,4,2,5,5,4,2,1,2,5,2,5,2,4,4,4,4,2,1,4,4,2,4,1,2,2,2,2,5,1,5,2,4,2,1,4,5,4,2,5,4,1,5,1,4,2,5,1,1,2,5,5,1,4,1,5,4,2,2,2,5,4,5,1,5,5,2,9,9,2,5,9,9,9,5,8,5,5,4,2,4,5,2,5,5,4,1,4,5,5,5,5,5,5,5,4,5,5,4,2,4,2,2,4,2,5,4,4,5,4,4,5,5,5,5,5,2,4,4,1,4,4,5,2,2,2,4,4,4,5,5,1,5,1,5,4,5,3.1,3.7,5,4.3,3.1,4,4.5,4.4,3,3.2,3.2,4.1,4.714285714,7.714285714
152,213,59798302,5c54d3c   ,"Jul 30, 2019 11:49","Jul 30, 2019 12:13",participated and completed        ,23,In a relationship        ,Female  ,I am in a heterosexual relationship,58,3,4,2,4,2,5,2,5,3,4,5,1,5,1,4,3,3,4,3,2,2,2,3,4,1,4,1,3,5,4,3,4,1,3,2,1,3,4,5,4,2,2,1,3,3,4,4,5,1,4,5,4,4,3,4,3,2,3,1,1,1,3,3,4,4,3,5,4,4,2,4,2,1,4,1,2,3,1,5,3,2,1,4,4,3,1,2,2,4,4,2,2,2,3,4,3,2,3,4,5,4,2,3,2,3,2,4,2,5,1,3,5,5,4,3,3,3,3,3,1,3,1,5,5,5,1,5,5,2,9,9,1,1,9,9,9,6,9,9,5,4,3,5,5,5,5,5,3,5,4,5,1,2,2,2,3,2,3,4,5,5,5,4,3,4,3,2,2,3,3,4,5,5,4,5,5,3,4,3,3,2,2,2,4,4,4,3,5,4,3,5,4,4,3,3,4,3,3,3,4.4,4,2.2,3.2,4.5,3.1,4.4,2.9,2.7,4.1,4,3.3,4.857142857,8.428571429
153,214,59798674,f19234e   ,"Jul 30, 2019 12:12","Jul 30, 2019 12:36",participated and completed        ,20,In a relationship        ,Male    ,I am in a heterosexual relationship,14,1,3,3,2,4,4,2,3,2,4,5,4,5,2,4,4,1,2,2,4,2,5,2,4,2,3,2,2,4,5,4,4,2,3,2,1,4,4,4,3,4,4,4,3,4,2,4,4,2,2,4,3,4,2,2,1,2,4,4,1,2,4,1,2,3,2,2,3,5,1,2,4,4,4,4,2,3,5,4,2,2,1,4,3,2,2,2,4,2,3,2,2,3,4,4,3,2,2,3,2,4,4,2,5,4,2,5,3,2,3,4,2,3,2,3,4,2,4,2,2,3,2,4,5,5,2,5,5,1,9,9,9,1,8,8,9,3,1,9,4,5,2,2,4,2,4,4,4,5,2,5,2,2,2,2,4,2,2,1,4,4,4,2,2,4,5,2,4,4,5,4,2,4,1,4,3,3,4,4,3,3,4,4,3,5,4,4,5,2,2,2,4,4,2,2,3,2,4,4,3,3.9,2.6,2.5,3.4,3.7,3,3.1,3.2,3.8,2.6,3.1,4.714285714,7
154,215,59798702,0aba71c   ,"Jul 30, 2019 12:14","Jul 30, 2019 12:25",participated and completed        ,25,In a relationship        ,Female  ,I am in a heterosexual relationship,6,3,4,3,2,2,2,4,4,2,2,5,4,4,4,3,4,3,3,2,2,2,3,2,4,3,2,4,3,2,3,4,2,3,4,2,2,4,4,4,4,4,2,4,4,2,4,2,2,3,2,2,4,2,3,2,2,2,2,4,2,3,4,4,4,4,2,3,2,4,2,2,2,4,2,2,2,4,2,2,4,2,2,4,4,2,2,2,2,3,2,2,2,4,2,3,4,4,3,3,4,4,3,3,4,3,2,4,2,3,3,4,4,3,2,3,4,4,2,2,3,4,4,2,2,2,4,1,2,4,5,5,3,6,3,2,5,2,7,4,2,2,2,2,3,2,3,3,3,4,4,4,4,4,4,4,4,3,4,3,2,3,2,4,4,4,3,4,4,4,4,4,2,2,2,4,3,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2.6,3.4,3.4,3.6,3.3,3.7,2.9,2.3,3.8,3.7,4,2.2,1.857142857,3.857142857
155,216,59798845,34a9680   ,"Jul 30, 2019 12:22","Jul 30, 2019 12:50",participated and completed        ,51,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,252,1,4,2,2,2,5,5,5,2,2,4,1,5,1,3,3,4,4,2,2,2,4,4,3,1,5,1,3,2,2,2,1,1,4,3,3,5,5,5,4,4,3,1,5,1,3,2,4,1,1,4,4,3,3,4,1,3,3,4,2,1,5,4,2,2,1,5,4,5,3,5,2,1,2,1,5,1,2,3,4,1,1,4,2,2,1,5,1,3,2,1,1,2,1,2,2,3,5,3,4,1,2,5,1,3,1,5,5,2,1,5,3,3,1,5,4,4,1,1,1,4,1,3,2,2,1,2,3,5,7,7,4,1,5,5,4,3,6,9,5,1,4,5,5,5,5,5,3,3,3,4,4,3,4,4,4,3,3,2,5,5,5,4,5,3,5,5,5,4,5,5,5,5,5,5,5,1,3,1,2,4,5,1,1,3,1,5,5,5,5,5,5,5,5,1,4,1,2,2,4.7,3.2,3.5,3.2,4.5,4.9,4.7,1.7,2.1,3,4.6,2.7,2.571428571,5.571428571
156,217,59798880,9bf9623   ,"Jul 30, 2019 12:25","Jul 30, 2019 13:14",participated and completed        ,23,In a relationship        ,Female  ,I am in a heterosexual relationship,24,1,3,4,1,5,3,5,5,3,2,5,4,5,2,4,3,3,4,2,3,2,2,2,4,4,5,2,4,5,5,1,1,4,4,3,2,5,5,4,4,4,5,3,5,2,4,2,5,4,1,4,2,1,4,5,1,3,2,2,2,2,3,2,4,1,2,4,5,5,2,5,2,5,2,2,3,4,1,2,2,1,4,4,2,2,2,4,2,3,4,2,1,1,1,1,4,3,4,2,5,4,2,4,4,2,2,2,2,4,3,4,3,4,5,5,4,2,2,2,1,4,2,3,3,2,4,2,4,4,3,6,7,7,8,5,5,2,3,3,2,2,5,2,4,3,2,2,2,4,1,4,1,5,4,4,3,2,4,4,4,2,4,3,4,3,5,5,5,4,5,5,1,4,2,4,3,1,3,2,2,2,1,1,4,4,3,4,2,4,5,4,5,4,4,3,5,2,4,4,3.5,3.8,2.9,3.5,3.6,4.9,3.3,2.1,2.2,3.1,4.1,3.3,2.571428571,4.142857143
157,219,59799193,8d759b3   ,"Jul 30, 2019 12:43","Jul 30, 2019 12:53",participated but not yet completed,26,In a relationship        ,Female  ,I am in a heterosexual relationship,6,1,2,3,2,2,2,4,4,4,3,5,4,5,2,2,2,2,2,4,4,2,2,4,2,2,4,2,4,3,2,4,2,2,2,2,1,3,5,5,4,2,5,2,5,2,4,3,5,2,1,5,2,2,4,2,1,5,2,2,4,4,2,4,2,2,2,2,5,4,2,2,4,4,2,4,4,4,4,2,2,4,2,4,4,2,2,4,4,2,4,1,4,2,2,4,4,2,2,2,4,4,4,2,2,4,4,3,2,5,1,5,2,3,1,5,2,1,5,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,4,4,2,5,1,2,3,4,3,3,2,4,4,4,4,4,4,2,4,1,5,4,5,2,5,2,2,2,4,4,5,1,4,4,2,2,5,4,4,4,2,4,4,2,4,2,2,2,1,4,4,1,4,5,2.7,2.8,2.7,3.3,3.5,4.4,2.7,2.9,3.7,3.2,2.7,3.5,NA,NA
158,221,59799613,f585fc2   ,"Jul 30, 2019 13:04","Jul 30, 2019 13:14",participated but not yet completed,58,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,453,2,4,1,2,2,4,5,5,2,3,5,5,2,4,4,3,1,1,2,2,2,1,2,3,1,5,1,2,5,1,1,2,1,5,3,1,5,3,2,4,3,4,4,4,2,4,4,4,2,4,5,2,5,5,4,1,2,4,4,5,5,1,2,5,5,1,5,5,1,1,5,2,2,5,2,1,1,2,5,1,1,1,4,5,1,1,5,1,5,2,5,2,1,2,5,3,5,5,4,5,4,2,5,2,4,2,5,1,1,1,4,4,5,1,2,5,1,4,2,2,5,4,2,2,4,3,2,4,3,9,9,1,1,9,9,9,7,9,9,3,3,5,1,1,2,5,4,1,5,2,1,1,1,3,2,4,2,2,5,5,5,2,4,4,4,4,4,2,4,5,4,4,2,4,5,5,4,1,1,1,4,5,1,5,5,5,4,5,5,4,4,5,4,2,5,5,2,5,5,3.2,2.5,2.4,3.1,4,3.8,4.4,1.9,3.3,4.8,3.6,4.5,2.857142857,8.428571429
159,223,59799901,59c53a7   ,"Jul 30, 2019 13:18","Jul 30, 2019 13:30",participated and completed        ,21,In a relationship        ,Male    ,I am in a heterosexual relationship,7,2,4,5,5,1,2,4,5,2,2,3,5,5,2,4,1,1,4,1,5,2,2,4,4,2,4,5,5,2,1,4,5,2,5,4,5,4,4,2,2,2,4,4,5,2,5,4,2,1,2,4,2,1,4,2,1,5,4,4,5,5,5,5,1,2,5,2,4,4,2,5,5,4,2,2,4,1,5,2,2,1,1,4,2,5,4,1,2,1,5,5,3,5,2,2,1,1,5,1,4,1,1,1,5,3,2,5,4,5,2,5,4,2,5,1,2,2,1,4,1,1,4,4,4,4,2,5,4,1,7,9,9,2,7,5,7,3,1,8,4,5,2,1,1,2,4,5,2,1,2,1,4,5,4,2,4,2,2,4,1,4,4,1,4,1,4,1,4,5,5,3,2,2,1,2,4,5,5,5,5,1,1,1,2,4,2,2,5,4,4,4,5,4,5,1,1,1,4,4,2.7,1.8,3.5,3.6,3,4.1,2.5,5,1.3,2.5,4.3,2.2,4.285714286,5.714285714
160,224,59800181,c017204   ,"Jul 30, 2019 13:32","Jul 31, 2019 12:50",participated and completed        ,27,In a domestic partnership,Female  ,I am in a heterosexual relationship,108,1,2,4,1,4,3,3,5,1,2,5,5,5,1,4,4,2,4,2,2,2,4,4,4,2,4,2,4,2,2,2,2,1,4,3,1,3,5,5,4,2,4,4,4,4,2,3,4,2,1,4,4,5,4,2,1,4,4,4,2,4,4,1,4,4,4,1,4,2,1,2,1,5,5,1,3,1,2,1,5,5,2,4,4,2,1,2,4,2,1,2,2,2,1,5,5,4,5,5,5,4,4,4,3,4,4,2,4,2,2,2,5,2,4,4,2,2,2,5,4,5,4,4,3,4,1,3,5,2,9,8,2,1,9,9,9,2,8,9,5,4,4,1,2,2,4,4,2,5,2,4,4,1,4,3,5,2,2,2,4,5,5,4,2,2,5,4,5,4,5,4,1,2,3,5,4,2,2,2,1,5,2,4,2,5,3,1,4,2,5,5,1,2,4,2,4,4,1,4,2.9,3.4,3,3.3,3.8,4.4,2.8,2,3.5,3.2,3.2,3.5,4,8.142857143
161,225,59800779,2cacb53   ,"Jul 30, 2019 14:01","Jul 30, 2019 14:29",participated and completed        ,20,In a relationship        ,Female  ,I am in a heterosexual relationship,54,3,3,2,3,2,2,2,5,3,4,5,4,4,2,4,3,3,3,3,2,2,2,3,3,2,4,4,3,4,4,2,4,2,2,2,2,3,4,3,4,2,3,3,4,2,4,3,4,3,3,4,3,4,2,4,2,3,2,3,3,4,4,1,1,4,2,3,1,4,4,4,3,5,3,3,4,3,4,2,4,4,3,4,3,3,2,3,3,2,4,2,2,5,2,4,5,3,2,3,3,2,3,3,2,3,4,3,3,3,2,4,3,2,3,2,4,4,4,3,3,2,4,3,4,3,1,4,5,2,7,9,8,1,7,8,9,4,2,9,5,4,4,2,2,3,4,3,4,4,3,3,2,2,2,3,3,2,4,4,2,4,4,4,4,3,3,2,3,3,4,4,1,2,4,4,4,4,3,3,4,2,3,2,3,2,2,3,3,3,4,3,2,2,2,2,1,2,2,2,3,3.5,2.5,3.1,3.6,3.3,3,3.1,3.1,2.4,2.7,2.2,4,6.714285714
162,230,59801269,cf63834   ,"Jul 30, 2019 14:25","Jul 30, 2019 14:52",participated and completed        ,22,In a relationship        ,Female  ,I am in a heterosexual relationship,8,4,2,5,4,4,4,5,4,2,4,5,2,4,1,1,4,5,5,2,5,2,2,5,5,2,1,4,5,2,1,4,2,2,4,4,2,4,4,4,4,4,2,1,5,5,4,1,5,1,1,3,4,5,5,5,1,5,2,1,4,4,5,3,4,4,4,2,2,3,4,2,5,4,5,5,5,5,5,2,4,2,1,4,2,5,2,5,5,1,2,5,2,4,5,1,2,1,2,5,5,1,2,1,5,5,3,5,4,5,5,1,5,2,4,2,3,4,1,3,3,1,2,3,4,3,3,5,5,1,7,7,4,1,9,7,6,2,6,9,3,5,2,4,2,5,4,5,1,4,4,2,4,1,2,5,4,5,4,4,2,4,5,1,1,1,2,4,5,4,5,4,2,4,1,4,1,4,5,5,5,4,2,4,2,2,1,3,5,1,1,1,4,3,5,1,2,5,2,2,4,3.6,3.4,4.3,2.7,3.9,2.5,4.8,3,2.5,3.1,3.4,4,6.714285714
163,232,59802013,af96391   ,"Jul 30, 2019 14:54","Jul 30, 2019 15:10",participated and completed        ,23,In a domestic partnership,Female  ,I am in a heterosexual relationship,21,4,2,1,4,2,2,4,4,2,2,4,2,4,2,4,5,5,5,2,4,2,4,2,5,2,1,5,2,4,2,2,2,2,2,4,1,4,2,4,4,2,1,5,4,4,4,4,4,4,2,4,4,4,5,2,1,4,4,3,2,4,5,1,1,5,2,4,2,2,2,4,1,4,2,4,5,2,2,5,4,2,2,4,4,1,4,1,2,3,2,2,4,4,5,2,2,5,2,2,1,1,2,5,5,3,2,3,2,2,2,4,2,4,1,2,2,4,4,4,2,5,5,4,5,5,1,4,5,2,9,9,1,8,8,8,7,3,9,2,5,4,4,4,2,1,4,2,1,5,5,4,2,2,4,2,4,2,2,2,1,4,4,2,2,2,2,4,4,4,5,2,2,1,1,2,4,4,1,1,1,4,5,2,4,4,1,2,4,4,1,2,4,4,2,1,2,2,2,2,3,3.7,3,2.7,2.9,3.4,2.5,1.7,3.2,2.5,2.3,1.9,4.571428571,6.857142857
164,234,59802667,326ce9f   ,"Jul 30, 2019 15:23","Jul 30, 2019 15:45",participated and completed        ,23,In a relationship        ,Female  ,I am in a heterosexual relationship,11,4,3,2,2,3,4,3,4,4,2,5,2,2,2,4,4,4,3,4,3,2,2,4,3,2,2,1,2,3,3,2,4,2,4,2,2,3,2,4,4,2,4,4,4,2,2,4,3,2,4,4,2,4,3,4,2,4,2,4,4,4,4,2,3,2,1,5,4,4,1,2,2,4,2,2,4,3,1,5,3,4,3,4,3,2,1,2,4,2,5,2,2,3,3,5,4,4,2,3,4,2,4,3,2,4,4,4,3,2,1,3,3,4,4,5,4,2,4,4,4,5,5,4,4,3,3,4,5,2,9,9,1,3,5,9,9,3,9,7,3,4,4,4,2,2,4,4,3,4,2,2,3,2,4,2,2,2,4,4,5,4,4,3,4,2,2,2,2,2,4,4,2,1,4,5,5,1,2,3,1,1,2,4,3,5,2,2,3,2,3,4,2,2,2,2,3,3,3,4,3.4,3.2,2.9,2.8,3.7,2.5,3.7,1.7,3,3.2,2.8,3,3.857142857,7.571428571
165,236,59803636,b392c64   ,"Jul 30, 2019 16:10","Jul 30, 2019 16:24",participated and completed        ,21,In a relationship        ,Female  ,I am in a heterosexual relationship,4,1,4,3,2,4,4,4,4,3,5,5,4,5,2,5,1,1,5,2,2,2,1,2,2,1,4,3,3,5,1,5,2,2,2,1,1,4,5,4,4,2,5,4,4,2,5,4,5,1,5,5,2,5,5,2,2,3,4,1,3,4,5,3,5,4,1,5,4,5,1,1,2,5,1,4,4,5,4,4,4,3,4,4,4,1,3,1,2,3,1,1,2,5,1,4,5,4,3,3,4,2,4,5,2,3,4,2,2,5,1,5,5,4,4,5,3,5,4,2,5,3,4,5,5,5,1,5,5,1,9,9,2,3,9,9,9,5,8,7,5,5,1,2,2,2,5,5,1,5,1,3,1,1,1,2,3,1,2,5,3,4,4,4,4,3,5,4,1,4,4,4,1,2,4,3,5,1,2,1,3,5,2,5,4,5,2,4,2,4,5,2,3,2,2,1,1,1,2,1,3.2,2.8,1.4,3,3.9,4,3.4,2.1,4.3,3.3,3.5,1.8,5,8
166,238,59805491,ec3c71b   ,"Jul 30, 2019 17:50","Jul 30, 2019 18:06",participated and completed        ,22,In a relationship        ,Female  ,I am in a heterosexual relationship,42,1,4,4,2,4,2,4,4,1,2,4,1,5,1,2,1,4,4,4,2,2,1,5,4,1,4,1,4,5,4,2,2,1,4,3,1,4,4,4,2,3,2,2,2,1,5,4,4,2,1,5,5,5,4,4,1,2,4,4,2,1,2,4,4,4,4,5,5,4,1,4,4,1,1,2,1,2,4,5,5,2,1,4,5,2,1,1,1,2,4,4,2,1,2,2,2,2,5,2,5,4,2,2,1,2,1,5,4,5,1,5,4,5,4,4,5,4,2,1,2,2,1,5,5,5,1,5,5,1,9,9,1,1,9,7,9,4,9,9,5,5,4,5,5,4,5,4,2,5,4,4,1,1,4,2,5,4,2,5,5,5,5,4,5,4,5,4,5,2,5,4,5,5,5,5,5,2,4,4,4,2,2,2,2,5,5,5,5,5,4,4,4,5,4,4,5,1,1,2,4.1,3.9,2.6,4,4.5,4,4.9,3.7,2.5,4.2,4.3,2.4,5,8.142857143
167,239,59806378,eba9673   ,"Jul 30, 2019 18:24","Jul 30, 2019 18:55",participated and completed        ,20,In a relationship        ,Female  ,I am in a homosexual relationship  ,14,2,5,4,2,5,4,3,4,2,2,4,2,5,1,4,2,4,3,2,3,2,1,4,5,2,4,2,3,4,5,2,1,1,3,2,2,5,5,4,4,3,4,2,3,1,3,2,4,2,1,2,4,5,1,3,1,3,2,2,3,3,1,1,2,4,4,5,5,5,2,1,2,3,5,1,4,4,5,2,2,4,1,4,4,4,1,4,4,2,2,4,2,1,1,1,4,3,5,5,5,3,4,2,2,3,4,3,2,4,1,1,4,2,1,3,4,1,4,4,4,1,2,5,5,5,1,4,5,2,9,9,1,1,9,9,9,3,9,9,5,4,4,4,3,4,4,4,5,4,2,3,2,1,4,4,4,2,4,5,4,5,5,3,5,3,4,5,5,4,5,4,3,4,4,5,5,3,3,4,5,4,5,5,4,4,2,2,5,2,5,5,2,2,2,5,5,5,4,5,3.8,4.1,2.6,3.6,4,4.3,4.1,3.8,4.2,2.6,3.3,4.6,4.714285714,8.428571429
168,240,59807465,e25bab5   ,"Jul 30, 2019 19:42","Jul 30, 2019 19:56",participated and completed        ,19,In a relationship        ,Male    ,I am in a homosexual relationship  ,17,2,3,5,3,3,4,2,3,2,4,5,2,4,3,4,3,4,4,2,4,2,3,3,5,1,1,2,4,4,3,4,5,2,4,2,2,4,5,4,3,2,3,4,4,4,2,4,5,2,1,3,3,4,1,5,1,3,3,1,1,1,3,5,2,2,4,3,5,5,1,1,5,1,5,2,3,5,5,3,3,3,3,4,3,5,1,1,1,4,5,5,1,5,1,4,3,1,5,5,5,2,1,2,5,2,1,4,4,5,1,2,3,2,5,1,5,4,2,3,2,1,1,5,5,5,1,5,5,2,9,9,1,1,9,9,9,6,9,9,5,4,2,4,5,2,5,4,5,4,3,5,2,2,2,2,4,2,3,3,4,4,3,2,2,3,4,1,5,4,5,5,5,5,1,5,5,5,5,4,5,1,1,5,2,5,3,3,3,5,5,4,3,5,4,3,1,4,3,2,3.9,4.2,2.2,3.3,3.1,3.5,4.2,4.8,2.5,3.2,4.4,3.1,4.857142857,8.428571429
169,241,59807623,322a4c2   ,"Jul 30, 2019 19:50","Jul 30, 2019 20:22",participated and completed        ,32,Married/Civil Union      ,Male    ,I am in a homosexual relationship  ,24,2,4,4,4,1,4,4,4,5,2,4,5,5,1,5,1,3,3,2,2,2,1,4,5,3,5,2,3,2,2,1,2,2,3,2,4,2,4,4,4,3,5,4,4,2,4,2,4,2,2,5,1,4,2,1,1,2,4,2,2,4,4,2,3,4,5,1,2,2,2,2,4,5,1,5,4,4,5,1,5,5,2,4,4,4,4,1,4,3,2,4,5,5,5,4,3,4,1,2,2,2,4,2,5,2,5,4,4,4,4,4,2,4,2,2,1,5,4,4,3,1,5,2,2,2,4,2,1,4,1,5,9,9,1,1,5,1,1,1,2,2,5,1,2,2,3,4,4,2,1,4,4,2,4,4,1,1,2,5,4,4,5,4,4,4,4,4,4,4,5,1,1,1,1,2,2,4,2,4,5,4,4,4,2,4,2,2,4,2,1,1,1,1,2,2,1,2,1,1,2.7,3,3,2.8,4.2,4.3,1.2,4.1,3.6,3.2,1.6,1.5,1.857142857,1.571428571
170,242,59808094,fd9b8b0   ,"Jul 30, 2019 20:14","Jul 30, 2019 20:24",participated and completed        ,18,In a relationship        ,Male    ,I am in a heterosexual relationship,23,3,4,4,4,2,3,3,4,4,3,4,4,3,2,4,4,4,2,4,4,2,3,5,3,4,2,2,5,3,3,4,4,1,3,3,2,5,4,4,4,2,3,4,4,4,3,3,5,4,3,4,2,4,2,3,3,4,3,2,4,4,4,3,2,5,5,5,3,5,3,4,5,2,5,1,5,1,5,3,3,2,1,4,4,3,3,3,4,3,3,5,2,4,1,3,1,4,4,4,5,4,1,3,3,3,3,4,2,5,4,1,5,4,1,3,5,3,3,4,1,3,1,5,5,5,1,5,5,1,9,9,9,1,9,9,9,7,1,9,5,5,2,2,2,2,2,2,4,4,3,2,3,2,3,3,2,2,3,3,4,5,4,2,2,2,3,2,3,2,3,4,4,5,3,3,2,3,2,3,3,3,5,2,4,3,1,2,5,2,5,5,4,3,3,2,2,5,3,3,2.5,3.4,3.1,3.1,3.5,2.9,3.8,3.9,2.7,3.1,4,3.3,5,7.285714286
171,245,59809592,7e74c36   ,"Jul 30, 2019 21:46","Jul 30, 2019 22:03",participated and completed        ,25,In a relationship        ,Female  ,I am in a heterosexual relationship,27,2,4,3,2,4,5,4,4,1,4,5,1,5,1,4,3,2,5,3,2,2,1,3,5,2,3,2,2,4,4,2,2,1,5,3,1,5,3,5,4,3,3,1,5,2,5,3,5,1,2,4,4,5,2,5,2,1,1,1,1,1,3,4,2,4,5,4,4,3,3,4,5,4,2,1,4,1,4,5,2,2,3,4,3,3,2,3,3,1,4,2,1,4,1,4,1,1,5,4,4,2,2,2,1,3,1,4,4,4,2,3,3,2,4,2,5,3,1,2,1,2,1,5,4,4,2,5,5,3,9,9,1,1,9,9,9,4,9,9,4,3,4,5,5,5,4,5,4,5,3,5,2,1,2,3,5,2,5,5,4,5,5,4,4,5,4,4,4,3,4,5,2,5,5,4,4,4,5,4,4,2,2,2,2,3,2,4,3,3,5,5,4,5,5,3,2,3,4,3,4.8,4.2,2.3,4,4.4,3.9,4.4,4,2,2.7,4.1,3.1,4.285714286,8.428571429
172,246,59809830,eaae9f7   ,"Jul 30, 2019 22:04","Jul 30, 2019 22:20",participated and completed        ,50,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,228,2,4,1,3,4,5,5,4,4,3,5,5,5,2,5,4,2,4,2,4,2,3,4,4,1,4,3,2,2,2,2,2,2,2,2,1,4,5,5,4,2,4,2,5,4,4,2,5,2,2,2,2,3,2,5,2,2,4,2,2,3,4,2,4,4,4,2,1,5,5,1,5,5,1,1,2,4,4,2,4,4,4,4,2,4,3,2,4,5,2,2,4,4,2,2,4,2,2,3,5,1,5,1,4,2,4,2,4,5,2,4,4,2,4,2,2,4,4,5,2,1,4,2,3,3,5,2,2,2,5,5,3,1,5,5,2,3,7,9,1,4,4,1,3,4,5,4,4,5,2,4,4,3,3,4,2,1,2,3,3,4,4,2,2,4,4,4,4,4,4,2,1,2,2,3,4,4,4,5,5,4,2,5,2,1,4,1,2,2,4,5,2,2,2,2,2,2,2,2,3.9,3.7,3.1,2.3,3.4,4.4,2.2,4.2,3.4,2.4,3.3,1.9,2.428571429,4.857142857
173,248,59810845,d85d138   ,"Jul 30, 2019 23:53","Jul 31, 2019 00:17",participated and completed        ,33,In a relationship        ,Female  ,I am in a heterosexual relationship,180,2,4,4,2,2,2,3,5,2,3,4,1,5,4,3,3,4,1,4,4,2,4,1,5,4,5,2,4,3,1,4,2,3,4,4,1,5,4,4,2,4,4,5,4,4,1,5,3,3,1,5,2,4,2,4,5,2,4,4,4,4,5,2,4,4,2,2,4,4,4,1,1,5,1,2,5,5,2,1,3,1,2,4,4,1,3,1,1,3,2,1,4,2,1,1,4,5,2,4,5,4,3,4,5,4,4,5,1,3,3,2,5,2,2,4,2,4,2,3,5,4,4,3,4,5,2,3,5,1,6,9,7,1,9,5,9,3,3,9,4,5,2,5,2,1,2,3,4,5,2,2,3,2,3,1,4,3,2,2,4,3,2,2,2,4,4,4,5,2,1,2,1,2,1,3,3,2,1,2,2,4,4,5,5,2,1,3,4,5,5,4,5,2,4,1,4,4,3,2,2.7,3.2,2.7,2.8,3.5,3.7,1.9,1.7,4.3,2.9,4.1,2.8,4.142857143,6.571428571
174,249,59810928,18941ea   ,"Jul 31, 2019 00:02","Jul 31, 2019 00:18",participated and completed        ,52,Married/Civil Union      ,Female  ,I am in a heterosexual relationship,59,2,4,4,4,2,5,3,4,4,4,2,1,4,2,4,5,4,2,2,2,2,2,4,2,2,5,1,3,3,4,2,1,1,2,4,4,5,3,1,4,3,2,4,4,2,3,4,4,1,3,4,4,4,3,5,2,2,2,3,2,1,2,2,2,5,2,5,4,4,2,4,4,1,2,2,4,3,4,1,3,3,2,4,4,3,4,1,4,2,3,2,1,3,2,4,2,2,5,4,5,5,4,4,2,4,3,4,2,4,2,2,3,2,2,4,5,3,3,2,2,4,1,3,3,3,4,2,5,2,4,7,3,1,5,3,4,5,7,9,2,4,4,5,5,2,4,5,3,2,4,4,3,2,2,2,2,2,4,4,5,5,4,4,4,4,4,5,3,4,4,5,5,5,4,2,4,2,4,2,2,3,4,2,4,4,2,4,4,2,4,4,3,3,3,4,3,4,3,3,4.2,3.1,3.2,3.2,3.9,3.9,4.1,2.9,3.3,3.3,3.3,3.2,3.142857143,5
